index_code,date,open,close,low,high,volume,money,change,label
'000001,1990/12/20,104.3,104.39,99.98,104.39,197,84000,4.4109,99.98
'000001,1990/12/21,109.07,109.13,103.73,109.13,28,16000,4.5407,104.39
'000001,1990/12/24,113.57,114.55,109.13,114.55,32,31000,4.9666,109.13
'000001,1990/12/25,120.09,120.25,114.55,120.25,15,6000,4.976,114.55
'000001,1990/12/26,125.27,125.27,120.25,125.27,100,53000,4.1746,120.25
'000001,1990/12/27,125.27,125.28,125.27,125.28,66,104000,0.008,125.27
'000001,1990/12/28,126.39,126.45,125.28,126.45,108,88000,0.9339,125.28
'000001,1990/12/31,126.56,127.61,126.48,127.61,78,60000,0.9174,126.45
'000001,1991/1/2,127.61,128.84,127.61,128.84,91,59000,0.9639,127.61
'000001,1991/1/3,128.84,130.14,128.84,130.14,141,93000,1.009,128.84
'000001,1991/1/4,131.27,131.44,130.14,131.44,420,261000,0.9989,130.14
'000001,1991/1/7,131.99,132.06,131.45,132.06,217,141000,0.4717,131.44
'000001,1991/1/8,132.62,132.68,132.06,132.68,2926,1806000,0.4695,132.06
'000001,1991/1/9,133.3,133.34,132.68,133.34,5603,3228000,0.4974,132.68
'000001,1991/1/10,133.93,133.97,133.34,133.97,9990,5399000,0.4725,133.34
'000001,1991/1/11,134.61,134.6,134.51,134.61,13327,7115000,0.4703,133.97
'000001,1991/1/14,134.11,134.67,134.11,135.19,12530,6883000,0.052,134.6
'000001,1991/1/15,134.21,134.74,134.19,134.74,1446,1010000,0.052,134.67
'000001,1991/1/16,134.19,134.24,134.14,134.74,509,270000,-0.3711,134.74
'000001,1991/1/17,133.67,134.25,133.65,134.25,658,334000,0.0074,134.24
'000001,1991/1/18,133.7,134.24,133.67,134.25,3004,1570000,-0.0074,134.25
'000001,1991/1/21,133.7,134.24,133.66,134.24,2051,1029000,0,134.24
'000001,1991/1/22,133.72,133.72,133.66,134.24,354,180000,-0.3874,134.24
'000001,1991/1/23,133.17,133.17,133.14,133.72,1095,575000,-0.4113,133.72
'000001,1991/1/24,132.61,132.61,132.57,133.17,1857,917000,-0.4205,133.17
'000001,1991/1/25,132.05,132.05,132.03,132.07,3447,1722000,-0.4223,132.61
'000001,1991/1/28,131.46,131.46,131.46,131.55,5107,2565000,-0.4468,132.05
'000001,1991/1/29,130.95,130.95,130.95,130.97,1387,710000,-0.388,131.46
'000001,1991/1/30,130.44,130.44,130.41,130.95,527,260000,-0.3895,130.95
'000001,1991/1/31,129.93,129.97,129.93,130.46,510,244000,-0.3603,130.44
'000001,1991/2/1,129.5,129.51,129.45,129.97,345,140000,-0.3539,129.97
'000001,1991/2/4,129.05,129.05,129.05,129.58,553,273000,-0.3552,129.51
'000001,1991/2/5,128.56,128.58,128.53,128.58,8562,4250000,-0.3642,129.05
'000001,1991/2/6,129.13,129.14,128.06,129.15,6641,3847000,0.4355,128.58
'000001,1991/2/7,129.74,129.79,129.14,129.79,2133,1504000,0.5033,129.14
'000001,1991/2/8,130.36,130.38,129.79,130.39,1234,879000,0.4546,129.79
'000001,1991/2/11,130.92,130.97,130.39,130.97,9317,4834000,0.4525,130.38
'000001,1991/2/12,131.54,131.35,130.97,131.56,3774,1986000,0.2901,130.97
