index_code,date,open,close,low,high,volume,money,change,label
沪深300,2005/1/4,994.77,982.79,980.66,994.77,741286900,4431980000,-1.721,997.32
沪深300,2005/1/5,981.58,992.56,979.88,997.32,711910900,4529210000,0.9941,993.79
沪深300,2005/1/6,993.33,983.17,980.33,993.79,628802900,3921020000,-0.946,995.71
沪深300,2005/1/7,983.05,983.96,979.81,995.71,729869400,4737470000,0.0804,993.96
沪深300,2005/1/10,983.76,993.88,979.79,993.96,579169800,3762930000,1.0082,999.55
沪深300,2005/1/11,994.19,997.14,991.09,999.55,584908000,3704080000,0.328,996.98
沪深300,2005/1/12,996.65,996.75,989.26,996.98,501452500,3093300000,-0.0391,999.47
沪深300,2005/1/13,996.08,996.88,992.7,999.47,604406600,3842170000,0.013,1006.46
沪深300,2005/1/14,996.62,988.31,987.23,1006.46,729784200,4162920000,-0.8597,981.53
沪深300,2005/1/17,979.11,967.45,965.08,981.53,728818900,4249810000,-2.1107,974.87
沪深300,2005/1/18,967.37,974.69,960.29,974.87,731184800,4117940000,0.7484,974.33
沪深300,2005/1/19,974.33,967.21,965.26,974.33,633809100,3427950000,-0.7674,963.21
沪深300,2005/1/20,963.21,956.25,952.23,963.21,772710600,4399350000,-1.1332,984.27
沪深300,2005/1/21,954.46,982.6,943.44,984.27,1445006000,8152090000,2.7556,1001.85
沪深300,2005/1/24,1001.85,998.13,986.24,1001.85,1435946200,8360160000,1.5805,997.95
沪深300,2005/1/25,995.64,997.78,985.24,997.95,986252900,6157020000,-0.0351,999.47
沪深300,2005/1/26,995.78,989.93,988.48,999.47,766329000,4719440000,-0.7867,987.7
沪深300,2005/1/27,987.34,974.63,973.77,987.7,694536500,4094400000,-1.5456,975.62
沪深300,2005/1/28,974.63,969.21,965.21,975.62,574880700,3280950000,-0.5561,965.79
沪深300,2005/1/31,965.79,954.88,953.14,965.79,678870600,3863570000,-1.4785,965.48
沪深300,2005/2/1,953.33,955.95,952.74,965.48,743306700,4275710000,0.1121,1006.93
沪深300,2005/2/2,956.7,1006.91,956.7,1006.93,1705733800,10202900000,5.3308,1014.19
