,date,predict,real
0,2014/9/3,2471.9822,2307.7
1,2014/9/4,2341.6006,2327.56
2,2014/9/5,2357.3025,2331.92
3,2014/9/9,2375.0813,2321.91
4,2014/9/10,2385.4895,2343.6
5,2014/9/11,2394.115,2331.95
6,2014/9/12,2405.0815,2340.45
7,2014/9/15,2410.2146,2347.94
8,2014/9/16,2395.1282,2309.05
9,2014/9/17,2402.663,2319.88
10,2014/9/18,2405.952,2331.56
11,2014/9/19,2409.642,2323.55
12,2014/9/22,2392.4673,2311.53
13,2014/9/23,2399.466,2345.75
14,2014/9/24,2405.7827,2365.15
15,2014/9/25,2409.3906,2350.11
16,2014/9/26,2412.7798,2363.06
17,2014/9/29,2416.0034,2365.49
18,2014/9/30,2418.73,2382.79
19,2014/10/8,2426.557,2391.35
20,2014/10/9,2517.1882,2386.28
21,2014/10/10,2395.5771,2366.86
22,2014/10/13,2388.483,2380.52
23,2014/10/14,2405.4631,2374.81
24,2014/10/15,2420.461,2389.68
25,2014/10/16,2422.209,2360.6
26,2014/10/17,2416.7888,2357.51
27,2014/10/20,2427.875,2361.65
28,2014/10/21,2418.1223,2352.12
29,2014/10/22,2412.671,2329.93
30,2014/10/23,2398.9512,2314.88
31,2014/10/24,2400.068,2293.64
32,2014/10/27,2391.5952,2338.28
33,2014/10/28,2406.087,2381.64
34,2014/10/29,2413.151,2397.26
35,2014/10/30,2424.0884,2423.6
36,2014/10/31,2448.2874,2436.79
37,2014/11/3,2466.877,2435.22
38,2014/11/4,2474.1084,2434.36
39,2014/11/5,2474.5293,2426.89
40,2014/11/6,2529.0916,2454.42
41,2014/11/7,2444.2642,2474.16
42,2014/11/10,2476.5933,2508.62
43,2014/11/11,2507.4006,2494.92
44,2014/11/12,2511.1929,2507.74
45,2014/11/13,2520.2195,2481.03
46,2014/11/14,2509.2397,2508.77
47,2014/11/17,2513.5474,2477.05
48,2014/11/18,2495.5017,2461.49
49,2014/11/19,2490.8093,2458.32
50,2014/11/20,2488.3555,2488.2
51,2014/11/21,2504.7095,2546.75
52,2014/11/24,2544.2627,2568.38
53,2014/11/25,2584.3015,2605.07
54,2014/11/26,2629.4856,2631.4
55,2014/11/27,2662.813,2683.18
56,2014/11/28,2734.1167,2720.74
57,2014/12/1,2750.7402,2777.37
58,2014/12/2,2821.3228,2824.18
59,2014/12/3,2861.9973,2900.51
60,2014/12/4,2913.5452,2978.03
61,2014/12/5,2972.4219,3041.66
62,2014/12/8,3044.7124,3091.32
63,2014/12/9,2908.6643,2946.71
64,2014/12/10,2941.019,2965.68
65,2014/12/11,2932.224,2962.51
66,2014/12/12,2937.789,2960.23
67,2014/12/15,2943.9878,3021.9
68,2014/12/16,3036.3198,3076.6
69,2014/12/17,3075.1196,3089.79
70,2014/12/18,3071.2576,3117.53
71,2014/12/19,3122.0984,3189.87
72,2014/12/22,3155.1663,3136.84
73,2014/12/23,3044.751,3050.51
74,2014/12/24,2966.6328,3073.35
