,date,predict,real
0,2016/7/14,3284.6604,3285.026
1,2016/7/15,3299.3652,3281.637
2,2016/7/18,3288.5327,3264.73
3,2016/7/19,3262.7021,3254.507
4,2016/7/20,3246.9517,3271.373
5,2016/7/21,3268.9482,3253.7690000000002
6,2016/7/22,3243.718,3243.79
7,2016/7/25,3250.6885,3269.745
8,2016/7/26,3285.2988,3276.511
9,2016/7/27,3278.5127,3235.781
10,2016/7/28,3291.7166,3225.4179999999997
11,2016/7/29,3220.645,3199.975
12,2016/8/1,3186.5747,3189.052
13,2016/8/2,3184.4849,3197.157
14,2016/8/3,3181.3865,3201.553
15,2016/8/4,3209.2104,3224.873
16,2016/8/5,3218.9734,3234.4790000000003
17,2016/8/8,3234.873,3257.333
18,2016/8/9,3260.5977,3261.86
19,2016/8/10,3255.3005,3274.026
20,2016/8/11,3260.7336,3294.2329999999997
21,2016/8/12,3312.3875,3417.914
22,2016/8/15,3589.6133,3418.688
23,2016/8/16,3541.1533,3394.388
24,2016/8/17,3446.3972,3394.7909999999997
25,2016/8/18,3442.2534,3374.045
26,2016/8/19,3388.0955,3372.833
27,2016/8/22,3362.3254,3359.647
28,2016/8/23,3352.3503,3348.1290000000004
29,2016/8/24,3322.4717,3315.0809999999997
30,2016/8/25,3307.4004,3328.945
31,2016/8/26,3317.9744,3315.078
32,2016/8/29,3300.1216,3325.1209999999996
33,2016/8/30,3308.187,3333.972
34,2016/8/31,3330.1638,3329.345
35,2016/9/1,3306.6182,3320.425
36,2016/9/2,3319.5437,3338.4190000000003
37,2016/9/5,3308.4575,3347.9509999999996
38,2016/9/6,3349.4736,3357.3559999999998
39,2016/9/7,3349.4905,3343.395
40,2016/9/8,3329.3804,3344.9509999999996
41,2016/9/9,3312.3682,3276.716
42,2016/9/12,3300.6438,3269.222
43,2016/9/13,3256.2957,3254.995
44,2016/9/14,3227.1548,3264.8990000000003
45,2016/9/19,3278.878,3265.035
46,2016/9/20,3254.6665,3270.902
47,2016/9/21,3253.5093,3303.199
48,2016/9/22,3284.327,3293.9159999999997
49,2016/9/23,3264.3428,3267.69
50,2016/9/26,3216.1665,3240.775
51,2016/9/27,3230.4875,3243.647
52,2016/9/28,3211.227,3257.7659999999996
53,2016/9/29,3223.8113,3260.94
54,2016/9/30,3234.379,3294.64
55,2016/10/10,3268.6943,3308.0040000000004
56,2016/10/11,3279.1792,3302.5609999999997
57,2016/10/12,3270.6907,3307.409
58,2016/10/13,3267.142,3306.685
59,2016/10/14,3273.5664,3309.009
60,2016/10/17,3281.8835,3321.3320000000003
61,2016/10/18,3312.251,3332.52
62,2016/10/19,3301.35,3324.903
63,2016/10/20,3295.2805,3341.56
64,2016/10/21,3313.2666,3382.825
65,2016/10/24,3395.7659,3373.913
66,2016/10/25,3358.7483,3367.8309999999997
67,2016/10/26,3341.6963,3352.3540000000003
68,2016/10/27,3318.7468,3370.7484
69,2016/10/28,3334.8394,3340.4696
70,2016/10/31,3313.7825,3359.3940000000002
71,2016/11/1,3331.627,3356.3976
72,2016/11/2,3324.0215,3379.9888
73,2016/11/3,3384.6711,3377.6392
74,2016/11/4,3358.4814,3362.7416
75,2016/11/7,3360.577,3383.9176
76,2016/11/8,3366.4287,3373.0959999999995
77,2016/11/9,3380.0469,3403.0158
78,2016/11/10,3397.015,3422.6715
79,2016/11/11,3504.208,3452.6159
80,2016/11/14,3558.8818,3434.9216
81,2016/11/15,3431.0276,3435.6366
82,2016/11/16,3425.1128,3437.6690000000003
83,2016/11/17,3421.9138,3443.1185
84,2016/11/18,3401.9375,3463.1423
85,2016/11/21,3462.97,3469.2189
86,2016/11/22,3502.558,3492.9564
87,2016/11/23,3524.9136,3508.1648
88,2016/11/24,3548.5347,3521.3029
89,2016/11/25,3562.9307,3553.3603
90,2016/11/28,3606.2263,3583.7185
91,2016/11/29,3682.358,3567.0689
92,2016/11/30,3592.1924,3575.97
93,2016/12/1,3645.0083,3562.5497
94,2016/12/2,3613.9775,3496.8838
95,2016/12/5,3561.7976,3477.5901
96,2016/12/6,3455.1565,3475.7473
97,2016/12/7,3455.549,3484.3402
98,2016/12/8,3451.3647,3507.9276
99,2016/12/9,3516.4807,3495.8022
100,2016/12/12,3506.0518,3416.2147
101,2016/12/13,3413.4836,3412.2795
